ABBAYE;abbaye;ABE
AGGLOMERATION;agglomération;AGL
AIRE;aire;AIRE
AIRES;aires;AIRE
ALLEE;allée;ALL
ALLEES;allées;ALL
ANCIEN CHEMIN;ancien chemin;ACH
ANCIENNE MONTEE;ancienne montée;AMT
ANCIENNES MONTEES;anciennes montées;AMT
ANCIENNE ROUTE;ancienne route;ART
ANCIENNES ROUTES;anciennes routes;ART
ANCIENS CHEMINS;anciens chemins;ACH
ANSE;anse;ANSE
ARCADE;arcade;ARC
ARCADES;arcades;ARC
AUTOROUTE;autoroute;AUT
AVENUE;avenue;AV
BALI;bali;BALI
BAN;ban;BAN
BARRIERE;barrière;BRE
BARRIERES;barrières;BRE
BAS CHEMIN;bas chemin;BCH
BASTIDE;bastide;BSTD
BASTION;bastion;BAST
BEGUINAGE;béguinage;BEGI
BEGUINAGES;béguinages;BEGI
BERGE;berge;BER
BERGES;berges;BER
BIDEA;bidea;BIDEA
BIDEBURUA;bideburua;BIDEBURUA
BIDECHKA;bidechka;BIDECHKA
BIDEKURUTZE;bidekurutze;BIDEKURUTZE
BIDEXKA;bidexka;BIDEXKA
BOIS;bois;BOIS
BOUCLE;boucle;BCLE
BOULEVARD;boulevard;BD
BOURG;bourg;BRG
BRECHE;brèche;BRECHE
BUTTE;butte;BUT
CALE;cale;CALE
CAMI;cami;CAMI
CAMIN;camin;CAMIN
CAMINAU;caminau;CAMINAU
CAMP;camp;CAMP
CAMPAGNE;campagne;CGNE
CAMPING;camping;CPG
CAP;cap;CAP
CARRE;carré;CARR
CARREAU;carreau;CAU
CARREFOUR;carrefour;CAR
CARRELOT;carrelot;CARRELOT
CARRERA;carrera;CARRERA
CARRERE;carrere;CARRERE
CARRERES;carreres;CARRERES
CARRERO;carrero;CARRERO
CARREROT;carrerot;CARREROT
CARRIERA;carriera;CARRIERA
CARRIERE;carrière;CARE
CARRIERES;carrières;CARE
CARRIEROU;carrierou;CARRIEROU
CARRONT;carront;CARRONT
CASTEL;castel;CST
CAUSSADE;caussade;CAUSSADE
CAVEE;cavée;CAV
CENTRAL;central;CTRE
CENTRE;centre;CTRE
CENTRE COMMERCIAL;centre commercial;CCAL
CHALET;chalet;CHL
CHAPELLE;chapelle;CHP
CHARMILLE;charmille;CHI
CHATEAU;château;CHT
CHAUSSEE;chaussée;CHS
CHAUSSEES;chaussées;CHS
CHEMIN;chemin;CHE
CHEMIN VICINAL;chemin vicinal;CHV
CHEMINEMENT;cheminement;CHEM
CHEMINEMENTS;cheminements;CHEM
CHEMINS;chemins;CHE
CHEMINS VICINAUX;chemins vicinaux;CHV
CHEZ;chez;CHEZ
CITE;cité;CITE
